IdTarget    Name    Kind    Type    RA  Dec Redshift  Redshift_err  runs  IAUC
T07115074   SNF20070424-006 SuperNova   Ia  230.691 17.222  0.07011  0.00005   11  SN2007dn
T07118048   SNF20070427-000 SuperNova   Ia  159.042 34.543  0.05135  0.00008   4   SN2007do
T07118084   SNF20070427-010 SuperNova   Ia  250.483 15.383  0.14000  0.00000   19  SN2007dr
T07120087   SNF20070429-007 SuperNova   Ia  243.519 8.922   0.12950  0.00001   4   SN2007ds
T07123092   SNF20070430-004 SuperNova   Ia  314.857 3.653   0.09500  0.00000   4   SN2007dt
T07125072   SNF20070504-012 SuperNova   Ia  200.479 23.041  0.10000  0.02000   10  SN2007du
T07125083   SNF20070504-017 SuperNova   Ia  210.213 22.958  0.08329  0.00001   6   SN2007dv
T07130080   SNF20070509-001 SuperNova   Ia  192.803 -9.029  0.12500  0.00500   16  SN2007dx
T07138081   SNF20070513-002 SuperNova   Ia  326.318 11.047  0.03367  0.00010   4   SN2007dz
T07145081   SNF20070524-000 SuperNova   Ia  327.386 19.029  0.14899  0.00008   3   SN2007ec
T07150072   SNF20070528-000 SuperNova   Ia  221.947 16.831  0.04564  0.00007   4   SN2007ee
T07152038   SNF20070530-003 SuperNova   Ia  197.460 20.745  0.09593  0.00001   2   SN2007eg
T07152045   SNF20070531-002 SuperNova   Ia  212.547 8.311   0.09294  0.00236   3   SN2007ei
T07152079   SNF20070531-009 SuperNova   Ia  333.717 6.732   0.06500  0.01000   5   SN2007ej
T07161074   SNF20070608-005 SuperNova   Ia  253.660 16.050  0.12334  0.00008   3   SN2007ep
T07161080   SNF20070605-009 SuperNova   Ia  262.193 22.178  0.10234  0.00009   9   SN2007eo
T07163058   SNF20070604-000 SuperNova   Ia  230.770 8.782   0.07572  0.00005   2   SN2007ek
T07163064   SNF20070605-008 SuperNova   Ia  244.683 3.047   0.11244  0.00007   11  SN2007en
T07183063   SNF20070629-001 SuperNova   Ia  228.089 12.501  0.08323  0.00008   5   SN2007ey
T07183079   SNF20070627-009 SuperNova   Ia  340.026 24.699  0.04275  0.00056   11  SN2007ev
T07183093   SNF20070630-005 SuperNova   Ia  352.373 10.532  0.04146  0.00010   4   SN2007ez
T07183099   SNF20070628-002 SuperNova   Ia  6.708   21.180  0.10018  0.00009   6   SN2007ex
T07185074   SNF20070703-007 SuperNova   Ia  334.173 21.316  0.08282  0.00005   25  SN2007fh
T07188071   SNF20070630-009 SuperNova   Ia  214.079 36.217  0.06694  0.00018   8   SN2007fd
T07188079   SNF20070705-007 SuperNova   Ia  236.070 34.720  0.11605  0.00100   12  SN2007fi
T07195069   SNF20070713-000 SuperNova   Ia  307.620 -13.260 0.05500  0.00500   8   SN2007fu
T07198066   SNF20070714-008 SuperNova   Ia  313.990 -5.699  0.05924  0.00006   4   SN2007fx
T07200051   SNF20070718-005 SuperNova   Ia  221.947 30.471  0.10348  0.00008   10  SN2007gc
T07200054   SNF20070718-012 SuperNova   Ia  232.381 7.998   0.12527  0.00003   10  SN2007gd
T07200084   SNF20070718-026 SuperNova   Ia  340.656 28.316  0.09586  0.00012   6   SN2007gb
T07208124   SNF20070726-005 SuperNova   Ia  349.453 22.985  0.14104  0.00008   8   SN2007gf
T07220073   SNF20070807-000 SuperNova   Ia  329.398 8.013   0.22137  0.00009   10  SN2007gp
T07220087   SNF20070731-005 SuperNova   Ia  49.131  15.461  0.03899  0.00227   8   SN2007gn
T07233077   SNF20070816-006 SuperNova   Ia  343.427 12.098  0.07844  0.00009   6   SN2007gu
T07233081   SNF20070816-002 SuperNova   Ia  4.109   -0.353  0.06012  0.00006   10  SN2007gt
T07233085   SNF20070819-007 SuperNova   Ia  24.774  6.245   0.11553  0.00011   2   SN2007gv
T07235066   SNF20070820-006 SuperNova   Ia  11.507  -23.237 0.16500  0.00000   19  SN2007ha
T07238065   SNF20070825-001 SuperNova   Ia  17.714  15.461  0.07450  0.00015   60  SN2007if
T07240084   SNF20070824-003 SuperNova   Ia  42.917  -12.659 0.11700  0.00500   13  SN2007he
T07240088   SNF20070822-004 SuperNova   Ia  47.235  -11.273 0.08900  0.00200   6   SN2007hd
T07243047   SNF20070826-006 SuperNova   Ia  251.746 38.934  0.10773  0.00138   3   SN2007hh
T07243071   SNF20070824-002 SuperNova   Ia  39.368  -23.535 0.05143  0.00050   10  SN2007hf
T07243075   SNF20070824-001 SuperNova   Ia  62.136  2.379   0.02934  0.00021   10  SN2007hg
T07245050   SNF20070831-022 SuperNova   Ia  311.988 -5.407  0.04615  0.00008   4   SN2007hk
T07245052   SNF20070831-025 SuperNova   Ia  320.712 -21.145 0.06438  0.00015   8   SN2007ho
T07245082   SNF20070901-005 SuperNova   Ia  9.506   -14.963 0.11126  0.00005   6   SN2007hp
T07248075   SNF20070902-005 SuperNova   Ia  8.641   -1.218  0.07282  0.00010   2   SN2007ht
T07248077   SNF20070901-016 SuperNova   Ia  2.528   -16.273 0.08500  0.00500   6   SN2007hq
T07250068   SNF20070831-009 SuperNova   Ia  336.549 -12.136 0.07400  0.00100   8   SN2007im
T07253067   SNF20070909-023 SuperNova   Ia  17.057  18.741  0.06200  0.00100   4   SN2007in
T07255089   SNF20070910-005 SuperNova   Ia  16.199  4.521   0.10592  0.00216   6   SN2007io
T07255091   SNF20070910-007 SuperNova   Ia  23.787  36.018  0.08247  0.00178   6   SN2007ip
T08132065   SNF20080510-001 SuperNova   Ia  224.056 18.854  0.07182  0.00005   47  SN2008dk
T08134072   SNF20080512-010 SuperNova   Ia  242.768 52.452  0.06316  0.00219   44  SN2008cl
T08217051   SNF20080803-000 SuperNova   Ia  255.030 23.132  0.05678  0.00005   40  SN2008eq
T08264086   SNF20080913-031 SuperNova   Ia  32.892  23.880  0.05519  0.00179   39  SN2008fx
